Itemset,Support
5,0.11252854164598432
33,0.1523875707336444
61,0.17750421919984116
79,0.45329097587610445
70,0.1470763426983024
51,0.2670008934776134
13,0.12047056487640226
62,0.3186240444753301
48,0.40697905291372977
18,0.2559316986002184
36,0.1719448029385486
60,0.45825474039511566
40,0.13824084185446242
56,0.12052020252159237
38,0.1865382706244416
81,0.5590687977762335
67,0.10299811376948277
73,0.2844237069393428
75,0.24655018365928721
69,0.3748138588305371
47,0.33515338032363745
82,0.15799662464012706
34,0.12071875310235282
74,0.42852179092623843
84,0.22823389258413582
21,0.14116946292067906
59,0.37267944008736226
55,0.24461431549687282
57,0.16812270425890996
54,0.24540851781991463
66,0.2518614116946292
41,0.18877196465799662
58,0.1666335749032066
53,0.2205400575796684
4,0.24193388265660676
63,0.31351136702074855
76,0.3323240345478011
"61, 62",0.12811476223567955
"54, 55",0.12612925642807504
"60, 53",0.16514444554750324
"4, 69",0.18609153181773055
"62, 74",0.1739303087461531
"62, 55",0.17060458651841556
"59, 38",0.14538866276183857
"62, 33",0.11684701677752407
"59, 74",0.2020748535689467
"4, 18",0.14399880869651543
"4, 36",0.10667129951355107
"36, 47",0.10011913034845626
"36, 18",0.10418941725404547
"79, 21",0.10622456070684007
"66, 36",0.1425593169860022
"61, 47",0.10448724312518615
"74, 55",0.13918395711307455
"62, 57",0.12776729871934875
"66, 63",0.15472054005757968
"54, 74",0.12990171746252357
"61, 81",0.14121910056586914
"51, 69",0.21195274496177902
"69, 48",0.24362156259307058
"48, 21",0.10498361957708727
"60, 70",0.11376948277573712
"51, 58",0.1014593467685893
"48, 70",0.1071180383202621
"81, 13",0.10443760547999603
"69, 41",0.1454879380522188
"81, 55",0.1908071081107912
"79, 73",0.17631291571527846
"76, 70",0.10582745954531916
"48, 41",0.1307951950759456
"74, 18",0.13923359475826466
"81, 57",0.1368509877891393
"61, 63",0.10910354412786658
"60, 38",0.13963069591978555
"79, 54",0.1777524074257917
"79, 38",0.1454879380522188
"53, 48",0.1519408319269334
"81, 47",0.2331480194579569
"81, 76",0.258413580859724
"4, 75",0.1202223766504517
"75, 18",0.11947781197260002
"61, 69",0.13918395711307455
"63, 75",0.14265859227638242
"76, 53",0.14454482279360667
"58, 47",0.10294847612429267
"81, 48",0.2721632085773851
"60, 41",0.1381912042092723
"81, 21",0.11223071577484364
"55, 47",0.1532810483470664
"62, 70",0.10443760547999603
"61, 51",0.11744266851980542
"74, 48",0.21001687679936465
"41, 18",0.10503325722227738
